ID_ENTREGA_CIDADE_REGIAO;ID_ENTREGA_CIDADE;BT_ATIVO;DT_CADASTRO;TX_NOME
F1ACAEA1-09D0-46BB-B186-64D8C3853B26;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.653;Conjunto Residencial Costa Verde
4DBD87D3-7B19-4EEA-B190-F7322D57B7B2;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.107;Conjunto Residencial Irisville
389A17CB-2A2F-4058-A0AF-31BD0FCE93A7;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.107;Conjunto Residencial Irisville - 2ª Etapa
A8EAFE05-F78B-4964-AEF6-8B9EDF215D49;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.580;Conjunto Residencial Paulo Pacheco
35E1A1A5-B86B-4309-A71A-FB73D88B0716;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.287;Conjunto Residencial Rodoviário
EC23C298-DBF9-4EEC-B6C2-8F2226D6E692;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.917;Conjunto Residencial Yara
49AB0915-B795-4586-9151-7DE50A48F301;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.043;Conjunto Riviera
494D0908-C188-40A1-8DF4-C43F484CA916;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.220;Conjunto Romildo Ferreira do Amaral
8CD5DFB8-3B09-4088-A379-2799B3BA6212;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.793;Conjunto Vera Cruz
827D8A1F-7FAF-4EFF-8DD6-278A56D1F669;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.113;Conjunto Vila Isabel
CB0D947F-2EB5-4750-B205-DFB500624C40;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.587;Da Vitória
CF66C0F0-ABF9-4979-B648-C9FACF2F54E6;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.033;Distrito Vila Rica
ABBC5153-E379-4D9A-AAAC-92303F660CE3;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.973;Elísio Campos
E2466BF5-D9B1-46BC-B99E-6AE45C49CE0C;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.290;Esplanada do Anicuns
59983744-E5A2-48B5-834C-BB2A44CFCF24;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.033;Fazenda Botafogo
16B72E34-1490-4A71-AB93-2FB20647C43C;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.317;Fazenda Caveiras
764CE5C4-A2EF-4A06-9F51-A75FE5856F18;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.483;Fazenda Caveiras - Aeródromo
803FBEC2-2FAF-44DE-892B-6044403D972F;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.993;Fazenda Colina
45F6E665-96DF-4957-8E5F-2504B2E19ABF;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.953;Fazenda Criméia Caveiras
C27699C1-07F6-444E-B4D8-409FA4DB47CB;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.140;Fazenda Gameleira
68D25FA1-2E01-4370-9F71-80484E85A819;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.090;Fazenda Planície Petrópolis
5D8B46B9-E0B0-40EE-9D08-01C73371BD4C;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.970;Fazenda Retiro
6058C984-2CC9-4A2A-822C-1E8773B041E5;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:03.097;Fazenda Retiro - Golden Shopping
6F290B2E-3E10-4347-ADBD-8B207444E2A2;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.210;Fazenda Salinos
50F3A83B-7F4E-433D-A7FC-3DB5818C1371;0AA91E1E-042A-E711-80BB-001EC9E44883;1;2017-09-13 10:49:02.190;Fazenda Santa Rita
